"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2000","Slovakia","Females","Widowed persons","Total","Number",":",""
"2000","Slovakia","Females","Divorced persons","Total","Number",":",""
"2000","Finland","Total","Persons in registered partnership","Total","Number",":",""
"2000","Finland","Total","Widowed persons","Total","Number","318,636",""
"2000","Finland","Total","Divorced persons","Total","Number","430,524",""
"2000","Finland","Males","Persons in registered partnership","Total","Number",":",""
"2000","Finland","Males","Widowed persons","Total","Number","51,900",""
"2000","Finland","Males","Divorced persons","Total","Number","188,913",""
"2000","Finland","Females","Persons in registered partnership","Total","Number",":",""
"2000","Finland","Females","Widowed persons","Total","Number","266,736",""
"2000","Finland","Females","Divorced persons","Total","Number","241,611",""
"2000","Sweden","Total","Persons in registered partnership","Total","Number",":",""
"2000","Sweden","Total","Widowed persons","Total","Number","547,491",""
"2000","Sweden","Total","Divorced persons","Total","Number","767,570",""
"2000","Sweden","Males","Persons in registered partnership","Total","Number",":",""
"2000","Sweden","Males","Widowed persons","Total","Number","109,051",""
"2000","Sweden","Males","Divorced persons","Total","Number","338,778",""
"2000","Sweden","Females","Persons in registered partnership","Total","Number",":",""
"2000","Sweden","Females","Widowed persons","Total","Number","438,440",""
"2000","Sweden","Females","Divorced persons","Total","Number","428,792",""
"2000","Iceland","Total","Persons in registered partnership","Total","Number",":",""
"2000","Iceland","Total","Widowed persons","Total","Number","10,949",""
"2000","Iceland","Total","Divorced persons","Total","Number","14,965",""
"2000","Iceland","Males","Persons in registered partnership","Total","Number",":",""
"2000","Iceland","Males","Widowed persons","Total","Number","2,484",""
"2000","Iceland","Males","Divorced persons","Total","Number","6,788",""
"2000","Iceland","Females","Persons in registered partnership","Total","Number",":",""
"2000","Iceland","Females","Widowed persons","Total","Number","8,465",""
"2000","Iceland","Females","Divorced persons","Total","Number","8,177",""
"2000","Liechtenstein","Total","Persons in registered partnership","Total","Number",":",""
"2000","Liechtenstein","Total","Widowed persons","Total","Number",":",""
"2000","Liechtenstein","Total","Divorced persons","Total","Number",":",""
"2000","Liechtenstein","Males","Persons in registered partnership","Total","Number",":",""
"2000","Liechtenstein","Males","Widowed persons","Total","Number",":",""
"2000","Liechtenstein","Males","Divorced persons","Total","Number",":",""
